,Facilidade,Clientes,Coord_Clientes,Coord_Facilidade,Coord_cliente_facilidade,Tempo
921,PS GUARUS,Parque Fazendinha Campos dos G.,"(-21.7614561, -41.3167841)","(-21.7454022, -41.3228796)","((-21.7614561, -41.3167841), (-21.7454022, -41.3228796))",501
922,PS GUARUS,Parque Flamboyant,"(-21.7751086, -41.3046953)","(-21.7454022, -41.3228796)","((-21.7751086, -41.3046953), (-21.7454022, -41.3228796))",911
923,PS GUARUS,Parque Fundão,"(-21.727279, -41.3283031)","(-21.7454022, -41.3228796)","((-21.727279, -41.3283031), (-21.7454022, -41.3228796))",529
924,PS GUARUS,Parque Guarus,"(-21.7210448, -41.32179259999999)","(-21.7454022, -41.3228796)","((-21.7210448, -41.32179259999999), (-21.7454022, -41.3228796))",506
925,PS GUARUS,Parque Imperial,"(-21.8038887, -41.30406809999999)","(-21.7454022, -41.3228796)","((-21.8038887, -41.30406809999999), (-21.7454022, -41.3228796))",1406
926,PS GUARUS,Parque João Maria,"(-21.7739168, -41.3214584)","(-21.7454022, -41.3228796)","((-21.7739168, -41.3214584), (-21.7454022, -41.3228796))",713
927,PS GUARUS,Parque João Seixas,"(-21.768398, -41.325772)","(-21.7454022, -41.3228796)","((-21.768398, -41.325772), (-21.7454022, -41.3228796))",594
928,PS GUARUS,Parque Jóquei Club,"(-21.7801522, -41.2926106)","(-21.7454022, -41.3228796)","((-21.7801522, -41.2926106), (-21.7454022, -41.3228796))",1011
929,PS GUARUS,Parque José do Patrocínio,"(-21.7799453, -41.3027016)","(-21.7454022, -41.3228796)","((-21.7799453, -41.3027016), (-21.7454022, -41.3228796))",948
930,PS GUARUS,Parque Julião Nogueira,"(-21.7504512, -41.3525693)","(-21.7454022, -41.3228796)","((-21.7504512, -41.3525693), (-21.7454022, -41.3228796))",736
931,PS GUARUS,Parque Leopoldina,"(-21.7531904, -41.3429396)","(-21.7454022, -41.3228796)","((-21.7531904, -41.3429396), (-21.7454022, -41.3228796))",514
932,PS GUARUS,Parque Maciel,"(-21.7580768, -41.3046953)","(-21.7454022, -41.3228796)","((-21.7580768, -41.3046953), (-21.7454022, -41.3228796))",595
933,PS GUARUS,Parque Menezes,"(-21.7894288, -41.2714453)","(-21.7454022, -41.3228796)","((-21.7894288, -41.2714453), (-21.7454022, -41.3228796))",1414
934,PS GUARUS,Parque Nova Canaã,"(-21.6559772, -41.3151397)","(-21.7454022, -41.3228796)","((-21.6559772, -41.3151397), (-21.7454022, -41.3228796))",1170
935,PS GUARUS,Parque Novo Mundo,"(-21.725373, -41.3122849)","(-21.7454022, -41.3228796)","((-21.725373, -41.3122849), (-21.7454022, -41.3228796))",558
936,PS GUARUS,Parque Oliveira Botelho,"(-21.7604986, -41.3121057)","(-21.7454022, -41.3228796)","((-21.7604986, -41.3121057), (-21.7454022, -41.3228796))",530
937,PS GUARUS,Parque Pecuária,"(-21.7371193, -41.3498333)","(-21.7454022, -41.3228796)","((-21.7371193, -41.3498333), (-21.7454022, -41.3228796))",746
938,PS GUARUS,Parque Prazeres,"(-21.745628, -41.2999789)","(-21.7454022, -41.3228796)","((-21.745628, -41.2999789), (-21.7454022, -41.3228796))",548
939,PS GUARUS,Parque Presidente Juscelino,"(-21.7596981, -41.3459159)","(-21.7454022, -41.3228796)","((-21.7596981, -41.3459159), (-21.7454022, -41.3228796))",694
940,PS GUARUS,Parque Presidente Vargas,"(-21.7260655, -41.317008)","(-21.7454022, -41.3228796)","((-21.7260655, -41.317008), (-21.7454022, -41.3228796))",415
941,PS GUARUS,Parque Real,"(-21.8366441, -41.2571894)","(-21.7454022, -41.3228796)","((-21.8366441, -41.2571894), (-21.7454022, -41.3228796))",2009
942,PS GUARUS,Parque Riachuelo,"(-21.7572162, -41.3087929)","(-21.7454022, -41.3228796)","((-21.7572162, -41.3087929), (-21.7454022, -41.3228796))",519
943,PS GUARUS,Parque Rio Branco,"(-21.7339535, -41.3100007)","(-21.7454022, -41.3228796)","((-21.7339535, -41.3100007), (-21.7454022, -41.3228796))",440
944,PS GUARUS,Parque Rosario,"(-21.7735407, -41.3287998)","(-21.7454022, -41.3228796)","((-21.7735407, -41.3287998), (-21.7454022, -41.3228796))",614
945,PS GUARUS,Parque Rui Barbosa,"(-21.7845661, -41.33109779999999)","(-21.7454022, -41.3228796)","((-21.7845661, -41.33109779999999), (-21.7454022, -41.3228796))",825
946,PS GUARUS,Parque Salo Brand,"(-21.762943, -41.3046953)","(-21.7454022, -41.3228796)","((-21.762943, -41.3046953), (-21.7454022, -41.3228796))",660
947,PS GUARUS,Parque Santa Clara,"(-21.7355396, -41.3128479)","(-21.7454022, -41.3228796)","((-21.7355396, -41.3128479), (-21.7454022, -41.3228796))",413
948,PS GUARUS,Parque Santa Helena,"(-21.7317869, -41.3272689)","(-21.7454022, -41.3228796)","((-21.7317869, -41.3272689), (-21.7454022, -41.3228796))",519
949,PS GUARUS,Parque Santa Rosa,"(-21.7266046, -41.2998911)","(-21.7454022, -41.3228796)","((-21.7266046, -41.2998911), (-21.7454022, -41.3228796))",654
950,PS GUARUS,Parque Santo Amaro,"(-21.7638038, -41.3393716)","(-21.7454022, -41.3228796)","((-21.7638038, -41.3393716), (-21.7454022, -41.3228796))",685
951,PS GUARUS,Parque Santo Antônio,"(-21.742082, -41.3268346)","(-21.7454022, -41.3228796)","((-21.742082, -41.3268346), (-21.7454022, -41.3228796))",249
952,PS GUARUS,Parque Santos Dumont,"(-21.6869265, -41.3147291)","(-21.7454022, -41.3228796)","((-21.6869265, -41.3147291), (-21.7454022, -41.3228796))",945
953,PS GUARUS,Parque São Caetano,"(-21.7580002, -41.3428678)","(-21.7454022, -41.3228796)","((-21.7580002, -41.3428678), (-21.7454022, -41.3228796))",700
954,PS GUARUS,Parque São Domingos,"(-21.7268664, -41.3053224)","(-21.7454022, -41.3228796)","((-21.7268664, -41.3053224), (-21.7454022, -41.3228796))",633
955,PS GUARUS,Parque São José,"(-21.7259022, -41.3330687)","(-21.7454022, -41.3228796)","((-21.7259022, -41.3330687), (-21.7454022, -41.3228796))",666
956,PS GUARUS,Parque São Mateus,"(-21.7163376, -41.314237)","(-21.7454022, -41.3228796)","((-21.7163376, -41.314237), (-21.7454022, -41.3228796))",591
957,PS GUARUS,Parque São Silvestre,"(-21.7124775, -41.3037914)","(-21.7454022, -41.3228796)","((-21.7124775, -41.3037914), (-21.7454022, -41.3228796))",678
958,PS GUARUS,Parque Tamandaré,"(-21.7560324, -41.3380643)","(-21.7454022, -41.3228796)","((-21.7560324, -41.3380643), (-21.7454022, -41.3228796))",526
959,PS GUARUS,Parque Tarcísio Miranda,"(-21.7816047, -41.3044567)","(-21.7454022, -41.3228796)","((-21.7816047, -41.3044567), (-21.7454022, -41.3228796))",1026
960,PS GUARUS,Parque Tropical,"(-21.8147625, -41.3003049)","(-21.7454022, -41.3228796)","((-21.8147625, -41.3003049), (-21.7454022, -41.3228796))",1464
961,PS GUARUS,Parque Turf Club,"(-21.7691851, -41.3094894)","(-21.7454022, -41.3228796)","((-21.7691851, -41.3094894), (-21.7454022, -41.3228796))",758
962,PS GUARUS,Parque Varanda do Visconde,"(-21.8057227, -41.2998133)","(-21.7454022, -41.3228796)","((-21.8057227, -41.2998133), (-21.7454022, -41.3228796))",1435
963,PS GUARUS,Parque Vera Cruz,"(-21.7360076, -41.32915)","(-21.7454022, -41.3228796)","((-21.7360076, -41.32915), (-21.7454022, -41.3228796))",459
964,PS GUARUS,Parque Vicente Gonçalves Dias,"(-21.7494167, -41.3172373)","(-21.7454022, -41.3228796)","((-21.7494167, -41.3172373), (-21.7454022, -41.3228796))",221
965,PS GUARUS,Penha,"(-21.7925146, -41.2833674)","(-21.7454022, -41.3228796)","((-21.7925146, -41.2833674), (-21.7454022, -41.3228796))",1405
966,PS GUARUS,Pernambuca,"(-21.8075866, -41.49712479999999)","(-21.7454022, -41.3228796)","((-21.8075866, -41.49712479999999), (-21.7454022, -41.3228796))",2386
967,PS GUARUS,Poço Gordo,"(-21.8329253, -41.2275795)","(-21.7454022, -41.3228796)","((-21.8329253, -41.2275795), (-21.7454022, -41.3228796))",2140
968,PS GUARUS,Ponta da Lama,"(-21.8370393, -41.4279283)","(-21.7454022, -41.3228796)","((-21.8370393, -41.4279283), (-21.7454022, -41.3228796))",1624
969,PS GUARUS,Ponte de Coqueiros de Tócos,"(-21.8855681, -41.3109986)","(-21.7454022, -41.3228796)","((-21.8855681, -41.3109986), (-21.7454022, -41.3228796))",2062
970,PS GUARUS,Rio Preto,"(-21.7256414938058, -41.56115161423796)","(-21.7454022, -41.3228796)","((-21.7256414938058, -41.56115161423796), (-21.7454022, -41.3228796))",2614
971,PS GUARUS,Santa Ana,"(-21.6320294, -41.2526158)","(-21.7454022, -41.3228796)","((-21.6320294, -41.2526158), (-21.7454022, -41.3228796))",1874
972,PS GUARUS,Santa Cruz,"(-21.7260788, -41.4043264)","(-21.7454022, -41.3228796)","((-21.7260788, -41.4043264), (-21.7454022, -41.3228796))",1148
973,PS GUARUS,São Martinho,"(-22.0103593, -41.210161)","(-21.7454022, -41.3228796)","((-22.0103593, -41.210161), (-21.7454022, -41.3228796))",3428
974,PS GUARUS,São Sebastião de Campos,"(-21.8551344, -41.2114491)","(-21.7454022, -41.3228796)","((-21.8551344, -41.2114491), (-21.7454022, -41.3228796))",2418
975,PS GUARUS,Saturnino Braga,"(-21.8882808, -41.1980852)","(-21.7454022, -41.3228796)","((-21.8882808, -41.1980852), (-21.7454022, -41.3228796))",2696
976,PS GUARUS,Tapera,"(-21.788252, -41.3936825)","(-21.7454022, -41.3228796)","((-21.788252, -41.3936825), (-21.7454022, -41.3228796))",1186
977,PS GUARUS,Terra Prometida,"(-21.7139788, -41.2798345)","(-21.7454022, -41.3228796)","((-21.7139788, -41.2798345), (-21.7454022, -41.3228796))",1005
978,PS GUARUS,Tocos,"(-21.9007729, -41.2831951)","(-21.7454022, -41.3228796)","((-21.9007729, -41.2831951), (-21.7454022, -41.3228796))",2428
979,PS GUARUS,Travessão,"(-21.6070678, -41.3126835)","(-21.7454022, -41.3228796)","((-21.6070678, -41.3126835), (-21.7454022, -41.3228796))",1371
980,PS GUARUS,Ururai,"(-21.8117267, -41.3924302)","(-21.7454022, -41.3228796)","((-21.8117267, -41.3924302), (-21.7454022, -41.3228796))",1357
981,PS GUARUS,Venda Nova,"(-21.7806964, -41.1893024)","(-21.7454022, -41.3228796)","((-21.7806964, -41.1893024), (-21.7454022, -41.3228796))",1933
982,PS GUARUS,Vila da Rainha,"(-21.7700086, -41.293405)","(-21.7454022, -41.3228796)","((-21.7700086, -41.293405), (-21.7454022, -41.3228796))",1068
983,PS GUARUS,Vila Industrial,"(-21.7156956, -41.2950799)","(-21.7454022, -41.3228796)","((-21.7156956, -41.2950799), (-21.7454022, -41.3228796))",824
984,PS GUARUS,Vila Manhães,"(-21.7915221, -41.2745829)","(-21.7454022, -41.3228796)","((-21.7915221, -41.2745829), (-21.7454022, -41.3228796))",1464
985,PS GUARUS,Av. Dom Bosco,"(-21.7591468, -41.3400034)","(-21.7454022, -41.3228796)","((-21.7591468, -41.3400034), (-21.7454022, -41.3228796))",581
987,PS GUARUS,Estr. Poço Gordo,"(-21.830839, -41.2308837)","(-21.7454022, -41.3228796)","((-21.830839, -41.2308837), (-21.7454022, -41.3228796))",2076
988,PS GUARUS,Igreja Batista Jardim Ceasa,"(-21.7178297, -41.3022266)","(-21.7454022, -41.3228796)","((-21.7178297, -41.3022266), (-21.7454022, -41.3228796))",665
990,PS GUARUS,Paraiso da Benção,"(-21.760452, -41.3266466)","(-21.7454022, -41.3228796)","((-21.760452, -41.3266466), (-21.7454022, -41.3228796))",464
991,PS GUARUS,Parque Barão do Rio Branco,"(-21.7336254, -41.3117783)","(-21.7454022, -41.3228796)","((-21.7336254, -41.3117783), (-21.7454022, -41.3228796))",478
993,PS GUARUS,Pernambucanas,"(-21.7543225, -41.3487367)","(-21.7454022, -41.3228796)","((-21.7543225, -41.3487367), (-21.7454022, -41.3228796))",742
994,PS GUARUS,Ponto da Lama,"(-21.8370393, -41.4279283)","(-21.7454022, -41.3228796)","((-21.8370393, -41.4279283), (-21.7454022, -41.3228796))",1624
995,PS GUARUS,Av. Pelinca,"(-21.7595963, -41.3341974)","(-21.7454022, -41.3228796)","((-21.7595963, -41.3341974), (-21.7454022, -41.3228796))",530
996,PS GUARUS,Av. Santa Rosa,"(-21.726035, -41.3080528)","(-21.7454022, -41.3228796)","((-21.726035, -41.3080528), (-21.7454022, -41.3228796))",593
997,PS GUARUS,Julião Nogueira,"(-21.7504512, -41.3525693)","(-21.7454022, -41.3228796)","((-21.7504512, -41.3525693), (-21.7454022, -41.3228796))",736
998,PS GUARUS,Parque Canaã,"(-21.6568988, -41.313475)","(-21.7454022, -41.3228796)","((-21.6568988, -41.313475), (-21.7454022, -41.3228796))",1116
999,PS GUARUS,Parque Ceasa,"(-21.7206644, -41.2996777)","(-21.7454022, -41.3228796)","((-21.7206644, -41.2996777), (-21.7454022, -41.3228796))",701
1000,PS GUARUS,Praça do Flamboyant 1,"(-21.7725578, -41.3072573)","(-21.7454022, -41.3228796)","((-21.7725578, -41.3072573), (-21.7454022, -41.3228796))",819
1001,PS GUARUS,Rua Paraíso,"(-21.7229953, -41.3250517)","(-21.7454022, -41.3228796)","((-21.7229953, -41.3250517), (-21.7454022, -41.3228796))",562
1002,PS GUARUS,Igreja Adventista do Sét. Dia Calabouco,"(-21.7386222, -41.3150859)","(-21.7454022, -41.3228796)","((-21.7386222, -41.3150859), (-21.7454022, -41.3228796))",252
1003,PS GUARUS,Santa Rosa,"(-22.0294289, -41.0280592)","(-21.7454022, -41.3228796)","((-22.0294289, -41.0280592), (-21.7454022, -41.3228796))",4719
1004,PS GUARUS,UBS Salo Brand,"(-21.7653521, -41.3059432)","(-21.7454022, -41.3228796)","((-21.7653521, -41.3059432), (-21.7454022, -41.3228796))",809
1005,PS GUARUS,Canaã,"(-21.7592199, -41.3215318)","(-21.7454022, -41.3228796)","((-21.7592199, -41.3215318), (-21.7454022, -41.3228796))",609
1006,PS GUARUS,Aeroporto Bartolomeu Lisandro,"(-21.7013937, -41.3073687)","(-21.7454022, -41.3228796)","((-21.7013937, -41.3073687), (-21.7454022, -41.3228796))",804
1007,PS GUARUS,Av. Rui Barbosa,"(-21.7557442, -41.3080549)","(-21.7454022, -41.3228796)","((-21.7557442, -41.3080549), (-21.7454022, -41.3228796))",487
1008,PS GUARUS,Ceasa Campos do G,"(-21.7681775, -41.3514521)","(-21.7454022, -41.3228796)","((-21.7681775, -41.3514521), (-21.7454022, -41.3228796))",818
1009,PS GUARUS,Salo Brand,"(-21.7466594, -41.3216655)","(-21.7454022, -41.3228796)","((-21.7466594, -41.3216655), (-21.7454022, -41.3228796))",73
1010,PS GUARUS,Tv. João Seixas,"(-21.7723261, -41.3237712)","(-21.7454022, -41.3228796)","((-21.7723261, -41.3237712), (-21.7454022, -41.3228796))",664
1011,PS GUARUS,Ceasa,"(-21.7178297, -41.3022266)","(-21.7454022, -41.3228796)","((-21.7178297, -41.3022266), (-21.7454022, -41.3228796))",665
1013,PS GUARUS,Chave do Paraíso,"(-21.3949836, -41.4497645)","(-21.7454022, -41.3228796)","((-21.3949836, -41.4497645), (-21.7454022, -41.3228796))",2983
1014,PS GUARUS,Igreja Batista em Nova Canaã,"(-21.6541754, -41.31617749999999)","(-21.7454022, -41.3228796)","((-21.6541754, -41.31617749999999), (-21.7454022, -41.3228796))",1192
1015,SANDU,Alphaville,"(-21.7711892, -41.3106727)","(-21.7642258, -41.3148822)","((-21.7711892, -41.3106727), (-21.7642258, -41.3148822))",204
1016,SANDU,Baixa Grande,"(-21.9492435, -41.13520889999999)","(-21.7642258, -41.3148822)","((-21.9492435, -41.13520889999999), (-21.7642258, -41.3148822))",2844
1017,SANDU,Batista Ponto de Coqueiros,"(-21.9074616, -41.1586879)","(-21.7642258, -41.3148822)","((-21.9074616, -41.1586879), (-21.7642258, -41.3148822))",2443
1018,SANDU,Caju,"(-21.7444336, -41.3375268)","(-21.7642258, -41.3148822)","((-21.7444336, -41.3375268), (-21.7642258, -41.3148822))",816
1019,SANDU,Campo Limpo,"(-21.8595722, -41.2413952)","(-21.7642258, -41.3148822)","((-21.8595722, -41.2413952), (-21.7642258, -41.3148822))",1648
1020,SANDU,CEASA Campos dos G.,"(-21.7178297, -41.3022266)","(-21.7642258, -41.3148822)","((-21.7178297, -41.3022266), (-21.7642258, -41.3148822))",1167
1021,SANDU,Centro,"(-21.760181, -41.32211410000001)","(-21.7642258, -41.3148822)","((-21.760181, -41.32211410000001), (-21.7642258, -41.3148822))",250
1022,SANDU,Chave do Paraíso de Deus,"(-21.3951104, -41.4486132)","(-21.7642258, -41.3148822)","((-21.3951104, -41.4486132), (-21.7642258, -41.3148822))",3513
1023,SANDU,Codim,"(-21.7106103, -41.2846222)","(-21.7642258, -41.3148822)","((-21.7106103, -41.2846222), (-21.7642258, -41.3148822))",1343
1024,SANDU,Conselheiro Josino,"(-21.5004534, -41.3437979)","(-21.7642258, -41.3148822)","((-21.5004534, -41.3437979), (-21.7642258, -41.3148822))",2550
1025,SANDU,Custodópolis,"(-21.7224988, -41.3097124)","(-21.7642258, -41.3148822)","((-21.7224988, -41.3097124), (-21.7642258, -41.3148822))",1076
1026,SANDU,Donana,"(-21.8211884, -41.2971687)","(-21.7642258, -41.3148822)","((-21.8211884, -41.2971687), (-21.7642258, -41.3148822))",981
1027,SANDU,Estr. Brejo Grande,"(-21.6869393, -41.2872059)","(-21.7642258, -41.3148822)","((-21.6869393, -41.2872059), (-21.7642258, -41.3148822))",1452
1028,SANDU,Estr. Bulgalho,"(-21.8392734, -41.2388999)","(-21.7642258, -41.3148822)","((-21.8392734, -41.2388999), (-21.7642258, -41.3148822))",1649
1029,SANDU,Goytacazes,"(-21.8322841, -41.2683545)","(-21.7642258, -41.3148822)","((-21.8322841, -41.2683545), (-21.7642258, -41.3148822))",1290
1030,SANDU,Guriri,"(-21.9089274, -41.4696266)","(-21.7642258, -41.3148822)","((-21.9089274, -41.4696266), (-21.7642258, -41.3148822))",2431
1031,SANDU,Horto,"(-21.7623448, -41.2984828)","(-21.7642258, -41.3148822)","((-21.7623448, -41.2984828), (-21.7642258, -41.3148822))",317
1032,SANDU,Ibitioca,"(-21.8202798, -41.4690847)","(-21.7642258, -41.3148822)","((-21.8202798, -41.4690847), (-21.7642258, -41.3148822))",1925
1033,SANDU,Ips,"(-21.7810256, -41.32185610000001)","(-21.7642258, -41.3148822)","((-21.7810256, -41.32185610000001), (-21.7642258, -41.3148822))",520
1034,SANDU,Jardim Carioca,"(-21.7471402, -41.3247611)","(-21.7642258, -41.3148822)","((-21.7471402, -41.3247611), (-21.7642258, -41.3148822))",707
1035,SANDU,Jardim das Acácias,"(-21.7924053, -41.297796)","(-21.7642258, -41.3148822)","((-21.7924053, -41.297796), (-21.7642258, -41.3148822))",680
1036,SANDU,Jardim São Benenedito (Praça Nilo Peçanha),"(-21.7646615, -41.3219307)","(-21.7642258, -41.3148822)","((-21.7646615, -41.3219307), (-21.7642258, -41.3148822))",273
1037,SANDU,Lagoa das Pedras,"(-21.6666667, -41.3333333)","(-21.7642258, -41.3148822)","((-21.6666667, -41.3333333), (-21.7642258, -41.3148822))",1909
1038,SANDU,Lagoa de Cima,"(-21.7672222, -41.5169444)","(-21.7642258, -41.3148822)","((-21.7672222, -41.5169444), (-21.7642258, -41.3148822))",2721
1039,SANDU,Lapa,"(-21.7563171, -41.3128812)","(-21.7642258, -41.3148822)","((-21.7563171, -41.3128812), (-21.7642258, -41.3148822))",279
1040,SANDU,Mineiros,"(-21.8800211, -41.2210236)","(-21.7642258, -41.3148822)","((-21.8800211, -41.2210236), (-21.7642258, -41.3148822))",1900
1041,SANDU,Nova Brasília,"(-21.7441893, -41.3581852)","(-21.7642258, -41.3148822)","((-21.7441893, -41.3581852), (-21.7642258, -41.3148822))",1117
1042,SANDU,Nova Campos,"(-21.7217011, -41.3103395)","(-21.7642258, -41.3148822)","((-21.7217011, -41.3103395), (-21.7642258, -41.3148822))",1054
1043,SANDU,Novo Jockey,"(-21.7792586, -41.2780066)","(-21.7642258, -41.3148822)","((-21.7792586, -41.2780066), (-21.7642258, -41.3148822))",691
1044,SANDU,Parque Aeroporto,"(-21.6969147, -41.307831)","(-21.7642258, -41.3148822)","((-21.6969147, -41.307831), (-21.7642258, -41.3148822))",1347
1045,SANDU,Parque Aldeia,"(-21.7254055, -41.332284)","(-21.7642258, -41.3148822)","((-21.7254055, -41.332284), (-21.7642258, -41.3148822))",1246
1046,SANDU,Parque Alvorada,"(-21.7429556, -41.3184913)","(-21.7642258, -41.3148822)","((-21.7429556, -41.3184913), (-21.7642258, -41.3148822))",694
1047,SANDU,Parque Alzira Vargas,"(-21.7656981, -41.3252314)","(-21.7642258, -41.3148822)","((-21.7656981, -41.3252314), (-21.7642258, -41.3148822))",381
1048,SANDU,Parque Aurora,"(-21.7788905, -41.3235073)","(-21.7642258, -41.3148822)","((-21.7788905, -41.3235073), (-21.7642258, -41.3148822))",504
1049,SANDU,Parque Avenida Pelinca,"(-21.7604812, -41.3320547)","(-21.7642258, -41.3148822)","((-21.7604812, -41.3320547), (-21.7642258, -41.3148822))",511
1050,SANDU,Parque Bandeirantes,"(-21.7213412, -41.309035)","(-21.7642258, -41.3148822)","((-21.7213412, -41.309035), (-21.7642258, -41.3148822))",1111
1051,SANDU,Parque Bela Vista,"(-21.7984896, -41.2968969)","(-21.7642258, -41.3148822)","((-21.7984896, -41.2968969), (-21.7642258, -41.3148822))",714
1052,SANDU,Parque Boa Vista,"(-21.6943045, -41.3184913)","(-21.7642258, -41.3148822)","((-21.6943045, -41.3184913), (-21.7642258, -41.3148822))",1540
1053,SANDU,Parque Bonsucesso,"(-21.7209727, -41.3145352)","(-21.7642258, -41.3148822)","((-21.7209727, -41.3145352), (-21.7642258, -41.3148822))",938
1054,SANDU,Parque Calabouco,"(-21.7372533, -41.3172373)","(-21.7642258, -41.3148822)","((-21.7372533, -41.3172373), (-21.7642258, -41.3148822))",776
1055,SANDU,Parque Califórnia,"(-21.759319, -41.306149)","(-21.7642258, -41.3148822)","((-21.759319, -41.306149), (-21.7642258, -41.3148822))",203
1056,SANDU,Parque Cidade Luz,"(-21.722603, -41.3319192)","(-21.7642258, -41.3148822)","((-21.722603, -41.3319192), (-21.7642258, -41.3148822))",1320
1057,SANDU,Parque Conselheiro Tomaz Coelho,"(-21.7544774, -41.3286465)","(-21.7642258, -41.3148822)","((-21.7544774, -41.3286465), (-21.7642258, -41.3148822))",501
1058,SANDU,Parque Corrientes,"(-21.7454786, -41.3534142)","(-21.7642258, -41.3148822)","((-21.7454786, -41.3534142), (-21.7642258, -41.3148822))",1023
1059,SANDU,Parque do Prado,"(-21.7955985, -41.2952869)","(-21.7642258, -41.3148822)","((-21.7955985, -41.2952869), (-21.7642258, -41.3148822))",765
1060,SANDU,Parque Dom Bosco,"(-21.7608174, -41.3379783)","(-21.7642258, -41.3148822)","((-21.7608174, -41.3379783), (-21.7642258, -41.3148822))",619
1061,SANDU,Parque dos Rodoviários,"(-21.7557367, -41.34665940000001)","(-21.7642258, -41.3148822)","((-21.7557367, -41.34665940000001), (-21.7642258, -41.3148822))",894
1062,SANDU,Parque Dr. Beda,"(-21.7838389, -41.3220171)","(-21.7642258, -41.3148822)","((-21.7838389, -41.3220171), (-21.7642258, -41.3148822))",571
1063,SANDU,Parque Eldorado,"(-21.7148183, -41.3031301)","(-21.7642258, -41.3148822)","((-21.7148183, -41.3031301), (-21.7642258, -41.3148822))",1157
1064,SANDU,Parque Esplanada,"(-21.7466603, -41.3630875)","(-21.7642258, -41.3148822)","((-21.7466603, -41.3630875), (-21.7642258, -41.3148822))",1166
1065,SANDU,Parque Fazenda Grande,"(-21.7776963, -41.3122208)","(-21.7642258, -41.3148822)","((-21.7776963, -41.3122208), (-21.7642258, -41.3148822))",391
1066,SANDU,Parque Fazendinha Campos dos G.,"(-21.7614561, -41.3167841)","(-21.7642258, -41.3148822)","((-21.7614561, -41.3167841), (-21.7642258, -41.3148822))",147
1067,SANDU,Parque Flamboyant,"(-21.7751086, -41.3046953)","(-21.7642258, -41.3148822)","((-21.7751086, -41.3046953), (-21.7642258, -41.3148822))",365
1068,SANDU,Parque Fundão,"(-21.727279, -41.3283031)","(-21.7642258, -41.3148822)","((-21.727279, -41.3283031), (-21.7642258, -41.3148822))",1131
1069,SANDU,Parque Guarus,"(-21.7210448, -41.32179259999999)","(-21.7642258, -41.3148822)","((-21.7210448, -41.32179259999999), (-21.7642258, -41.3148822))",1107
1070,SANDU,Parque Imperial,"(-21.8038887, -41.30406809999999)","(-21.7642258, -41.3148822)","((-21.8038887, -41.30406809999999), (-21.7642258, -41.3148822))",920
1071,SANDU,Parque João Maria,"(-21.7739168, -41.3214584)","(-21.7642258, -41.3148822)","((-21.7739168, -41.3214584), (-21.7642258, -41.3148822))",438
1072,SANDU,Parque João Seixas,"(-21.768398, -41.325772)","(-21.7642258, -41.3148822)","((-21.768398, -41.325772), (-21.7642258, -41.3148822))",369
1073,SANDU,Parque Jóquei Club,"(-21.7801522, -41.2926106)","(-21.7642258, -41.3148822)","((-21.7801522, -41.2926106), (-21.7642258, -41.3148822))",437
1074,SANDU,Parque José do Patrocínio,"(-21.7799453, -41.3027016)","(-21.7642258, -41.3148822)","((-21.7799453, -41.3027016), (-21.7642258, -41.3148822))",444
1075,SANDU,Parque Julião Nogueira,"(-21.7504512, -41.3525693)","(-21.7642258, -41.3148822)","((-21.7504512, -41.3525693), (-21.7642258, -41.3148822))",1000
1076,SANDU,Parque Leopoldina,"(-21.7531904, -41.3429396)","(-21.7642258, -41.3148822)","((-21.7531904, -41.3429396), (-21.7642258, -41.3148822))",858
1077,SANDU,Parque Maciel,"(-21.7580768, -41.3046953)","(-21.7642258, -41.3148822)","((-21.7580768, -41.3046953), (-21.7642258, -41.3148822))",256
1078,SANDU,Parque Menezes,"(-21.7894288, -41.2714453)","(-21.7642258, -41.3148822)","((-21.7894288, -41.2714453), (-21.7642258, -41.3148822))",1017
1079,SANDU,Parque Nova Canaã,"(-21.6559772, -41.3151397)","(-21.7642258, -41.3148822)","((-21.6559772, -41.3151397), (-21.7642258, -41.3148822))",1672
1080,SANDU,Parque Novo Mundo,"(-21.725373, -41.3122849)","(-21.7642258, -41.3148822)","((-21.725373, -41.3122849), (-21.7642258, -41.3148822))",936
1081,SANDU,Parque Oliveira Botelho,"(-21.7604986, -41.3121057)","(-21.7642258, -41.3148822)","((-21.7604986, -41.3121057), (-21.7642258, -41.3148822))",150
1082,SANDU,Parque Pecuária,"(-21.7371193, -41.3498333)","(-21.7642258, -41.3148822)","((-21.7371193, -41.3498333), (-21.7642258, -41.3148822))",1194
1083,SANDU,Parque Prazeres,"(-21.745628, -41.2999789)","(-21.7642258, -41.3148822)","((-21.745628, -41.2999789), (-21.7642258, -41.3148822))",740
1084,SANDU,Parque Presidente Juscelino,"(-21.7596981, -41.3459159)","(-21.7642258, -41.3148822)","((-21.7596981, -41.3459159), (-21.7642258, -41.3148822))",750
1085,SANDU,Parque Presidente Vargas,"(-21.7260655, -41.317008)","(-21.7642258, -41.3148822)","((-21.7260655, -41.317008), (-21.7642258, -41.3148822))",851
1086,SANDU,Parque Real,"(-21.8366441, -41.2571894)","(-21.7642258, -41.3148822)","((-21.8366441, -41.2571894), (-21.7642258, -41.3148822))",1523
1087,SANDU,Parque Riachuelo,"(-21.7572162, -41.3087929)","(-21.7642258, -41.3148822)","((-21.7572162, -41.3087929), (-21.7642258, -41.3148822))",208
