,Bairros,Endereco,cliente_lat_long
30,Praça de Caxias De Tocos,"Praça de Caxias De Tocos, Campos dos Goytacazes - RJ","(-21.8889764, -41.2985687)"
31,Chácara João Ferreira,"Chácara João Ferreira, Campos dos Goytacazes - RJ","(-21.7640669, -41.315096)"
32,Estação de Tratamento de Esgoto Chatuba,"Estação de Tratamento de Esgoto Chatuba, Campos dos Goytacazes - RJ","(-21.7614561, -41.3167841)"
33,Chave do Paraíso,"Chave do Paraíso, Campos dos Goytacazes - RJ","(-21.3949836, -41.4497645)"
34,Parque Cidade Luz,"Parque Cidade Luz, Campos dos Goytacazes - RJ","(-21.722603, -41.3319192)"
35,Codim,"Codim, Campos dos Goytacazes - RJ","(-21.7106103, -41.2846222)"
36,Tubarão do Imbé,"Tubarão do Imbé, Campos dos Goytacazes - RJ","(-21.8016984, -41.6050184)"
37,Conselheiro Josino,"Conselheiro Josino, Campos dos Goytacazes - RJ","(-21.5004534, -41.3437979)"
38,Parque Conselheiro Tomaz Coelho,"Parque Conselheiro Tomaz Coelho, Campos dos Goytacazes - RJ","(-21.7544774, -41.3286465)"
39,Coqueiros - Tocos,"Coqueiros - Tocos, Campos dos Goytacazes - RJ","(-21.8855681, -41.3109986)"
40,Correnteza - Santo Eduardo,"Correnteza - Santo Eduardo, Campos dos Goytacazes - RJ","(-21.2887679, -41.3040038)"
41,Parque Corrientes,"Parque Corrientes, Campos dos Goytacazes - RJ","(-21.7454786, -41.3534142)"
42,Custodópolis,"Custodópolis, Campos dos Goytacazes - RJ","(-21.7224988, -41.3097124)"
43,Parque Dom Bosco,"Parque Dom Bosco, Campos dos Goytacazes - RJ","(-21.7608174, -41.3379783)"
44,Donana,"Donana, Campos dos Goytacazes - RJ","(-21.8211884, -41.2971687)"
45,Dores De Macabu,"Dores De Macabu, Campos dos Goytacazes - RJ","(-21.9879458, -41.5075284)"
46,Parque Dr. Beda,"Parque Dr. Beda, Campos dos Goytacazes - RJ","(-21.7838389, -41.3220171)"
47,Parque Eldorado,"Parque Eldorado, Campos dos Goytacazes - RJ","(-21.7148183, -41.3031301)"
48,Espinho,"Espinho, Campos dos Goytacazes - RJ","(-21.8400554, -41.1749369)"
49,Parque Esplanada,"Parque Esplanada, Campos dos Goytacazes - RJ","(-21.7466603, -41.3630875)"
50,Penha,"Penha, Campos dos Goytacazes - RJ","(-21.7925146, -41.2833674)"
51,Farol de São Thomé,"Farol de São Thomé, Campos dos Goytacazes - RJ","(-22.0400899, -41.0505751)"
52,Parque Fazenda Grande,"Parque Fazenda Grande, Campos dos Goytacazes - RJ","(-21.7776963, -41.3122208)"
53,Parque Fazendinha,"Parque Fazendinha, Campos dos Goytacazes - RJ","(-21.7614561, -41.3167841)"
54,Jardim Flamboyant I,"Jardim Flamboyant I, Campos dos Goytacazes - RJ","(-21.7721113, -41.3069455)"
55,Jardim Flamboyant II,"Jardim Flamboyant II, Campos dos Goytacazes - RJ","(-21.7728478, -41.305017)"
56,Parque Fundao,"Parque Fundao, Campos dos Goytacazes - RJ","(-21.727279, -41.3283031)"
57,Guandu,"Guandu, Campos dos Goytacazes - RJ","(-21.5586511, -41.3225158)"
58,Parque Guarus,"Parque Guarus, Campos dos Goytacazes - RJ","(-21.7210448, -41.32179259999999)"
59,Guriri - Dores de Macabu,"Guriri - Dores de Macabu, Campos dos Goytacazes - RJ","(-21.9089274, -41.4696266)"
60,Horto,"Horto, Campos dos Goytacazes - RJ","(-21.7623448, -41.2984828)"
61,Ibitioca,"Ibitioca, Campos dos Goytacazes - RJ","(-21.8202798, -41.4690847)"
62,Parque Imperial,"Parque Imperial, Campos dos Goytacazes - RJ","(-21.8038887, -41.30406809999999)"
63,Vila Industrial,"Vila Industrial, Campos dos Goytacazes - RJ","(-21.7156956, -41.2950799)"
64,IPS,"IPS, Campos dos Goytacazes - RJ","(-21.7810256, -41.32185610000001)"
65,Morro do Itereré,"Morro do Itereré, Campos dos Goytacazes - RJ","(-21.6666667, -41.5333333)"
66,Parque Ceasa,"Parque Ceasa, Campos dos Goytacazes - RJ","(-21.7206644, -41.2996777)"
67,Parque Joao Maria,"Parque Joao Maria, Campos dos Goytacazes - RJ","(-21.7739168, -41.3214584)"
68,Parque João Seixas,"Parque João Seixas, Campos dos Goytacazes - RJ","(-21.768398, -41.325772)"
69,Parque Jóquei Club,"Parque Jóquei Club, Campos dos Goytacazes - RJ","(-21.7801522, -41.2926106)"
70,Parque José do Patrocínio,"Parque José do Patrocínio, Campos dos Goytacazes - RJ","(-21.7799453, -41.3027016)"
71,Parque Juliao Nogueira,"Parque Juliao Nogueira, Campos dos Goytacazes - RJ","(-21.7504512, -41.3525693)"
72,Lagoa das Pedras - Travessão,"Lagoa das Pedras - Travessão, Campos dos Goytacazes - RJ","(-21.6666667, -41.3333333)"
73,Lagoa De Cima,"Lagoa De Cima, Campos dos Goytacazes - RJ","(-21.7672222, -41.5169444)"
74,Lapa,"Lapa, Campos dos Goytacazes - RJ","(-21.7563171, -41.3128812)"
75,São Sebastião,"São Sebastião, Campos dos Goytacazes - RJ","(-21.7163309, -41.2799653)"
76,Praça principal (quadra) do Lebret,"Praça principal (quadra) do Lebret, Campos dos Goytacazes - RJ","(-21.7240228, -41.325044)"
77,Parque Leopoldina,"Parque Leopoldina, Campos dos Goytacazes - RJ","(-21.7531904, -41.3429396)"
78,Jardim Maria de Queiroz,"Jardim Maria de Queiroz, Campos dos Goytacazes - RJ","(-21.7541341, -41.3359657)"
79,Marrecas,"Marrecas, Campos dos Goytacazes - RJ","(-21.9470673, -41.0583037)"
80,ETA Martins Lage,"ETA Martins Lage, Campos dos Goytacazes - RJ","(-21.7586004, -41.2517647)"
81,Guarus,"Guarus, Campos dos Goytacazes - RJ","(-21.7210448, -41.32179259999999)"
82,Mato Escuro,"Mato Escuro, Campos dos Goytacazes - RJ","(-21.9711966, -41.5225236)"
83,Matutu,"Matutu, Campos dos Goytacazes - RJ","(-21.6328299, -41.27019019999999)"
84,Parque Menezes,"Parque Menezes, Campos dos Goytacazes - RJ","(-21.7894288, -41.2714453)"
85,Mineiros,"Mineiros, Campos dos Goytacazes - RJ","(-21.8800211, -41.2210236)"
86,Chácara dos Sonhos - Morro Grande,"Chácara dos Sonhos - Morro Grande, Campos dos Goytacazes - RJ","(-21.7661278, -41.4447115)"
87,Mussurepe,"Mussurepe, Campos dos Goytacazes - RJ","(-21.9247531, -41.144572)"
88,Parque Niterói,"Parque Niterói, Campos dos Goytacazes - RJ","(-21.7327049, -41.3206088)"
89,Parque Brasília,"Parque Brasília, Campos dos Goytacazes - RJ","(-21.7455851, -41.3605835)"
90,Nova Campos,"Nova Campos, Campos dos Goytacazes - RJ","(-21.7217011, -41.3103395)"
91,Parque Nova Canaã - KM10,"Parque Nova Canaã - KM10, Campos dos Goytacazes - RJ","(-21.6552806, -41.3133305)"
92,Nova Goitacazes,"Nova Goitacazes, Campos dos Goytacazes - RJ","(-21.8296475, -41.283486)"
93,Novo Eldorado - Parque CEASA,"Novo Eldorado - Parque CEASA, Campos dos Goytacazes - RJ","(-21.7198406, -41.296934)"
94,Novo Jockey,"Novo Jockey, Campos dos Goytacazes - RJ","(-21.7792586, -41.2780066)"
95,R. Novo Mundo - Parque Novo Mundo,"R. Novo Mundo - Parque Novo Mundo, Campos dos Goytacazes - RJ","(-21.7278382, -41.3106614)"
96,Parque Oliveira Botelho,"Parque Oliveira Botelho, Campos dos Goytacazes - RJ","(-21.7604986, -41.3121057)"
97,Parque palmares,"Parque palmares, Campos dos Goytacazes - RJ","(-21.6992974, -41.3134092)"
98,Parque Pecuaria,"Parque Pecuaria, Campos dos Goytacazes - RJ","(-21.7371193, -41.3498333)"
99,Pernambuca - Ibitioca,"Pernambuca - Ibitioca, Campos dos Goytacazes - RJ","(-21.8075866, -41.49712479999999)"
100,Poço Gordo - São Sebastião de Campos,"Poço Gordo - São Sebastião de Campos, Campos dos Goytacazes - RJ","(-21.8329253, -41.2275795)"
101,Ponta da Lama,"Ponta da Lama, Campos dos Goytacazes - RJ","(-21.8370393, -41.4279283)"
102,Parque do Prado,"Parque do Prado, Campos dos Goytacazes - RJ","(-21.7955985, -41.2952869)"
103,Parque Prazeres,"Parque Prazeres, Campos dos Goytacazes - RJ","(-21.745628, -41.2999789)"
104,Parque Pres. Juscelino,"Parque Pres. Juscelino, Campos dos Goytacazes - RJ","(-21.7596981, -41.3459159)"
105,Parque Pres. Vargas,"Parque Pres. Vargas, Campos dos Goytacazes - RJ","(-21.7260655, -41.317008)"
106,Queimado - Dores de Macabu,"Queimado - Dores de Macabu, Campos dos Goytacazes - RJ","(-21.8687581, -41.5459448)"
107,Quilombo,"Quilombo, Campos dos Goytacazes - RJ","(-21.9643146, -41.4656662)"
108,Vila da Rainha,"Vila da Rainha, Campos dos Goytacazes - RJ","(-21.7700086, -41.293405)"
109,Jardim Res. Planície,"Jardim Res. Planície, Campos dos Goytacazes - RJ","(-21.7231374, -41.3015593)"
110,Parque Riachuelo,"Parque Riachuelo, Campos dos Goytacazes - RJ","(-21.7572162, -41.3087929)"
111,Ribeiro do Amaro - Travessão,"Ribeiro do Amaro - Travessão, Campos dos Goytacazes - RJ","(-21.5591834, -41.3593941)"
112,Rio Preto,"Rio Preto, Campos dos Goytacazes - RJ","(-21.7256414938058, -41.56115161423796)"
113,Parque dos Rodoviários,"Parque dos Rodoviários, Campos dos Goytacazes - RJ","(-21.7557367, -41.34665940000001)"
114,Parque Rosario,"Parque Rosario, Campos dos Goytacazes - RJ","(-21.7735407, -41.3287998)"
115,Parque Rui Barbosa,"Parque Rui Barbosa, Campos dos Goytacazes - RJ","(-21.7845661, -41.33109779999999)"
116,Parque Salo Brand,"Parque Salo Brand, Campos dos Goytacazes - RJ","(-21.762943, -41.3046953)"
117,Santa Ana,"Santa Ana, Campos dos Goytacazes - RJ","(-21.6320294, -41.2526158)"
118,Parque Santa Clara,"Parque Santa Clara, Campos dos Goytacazes - RJ","(-21.7355396, -41.3128479)"
119,Santa Cruz,"Santa Cruz, Campos dos Goytacazes - RJ","(-21.7260788, -41.4043264)"
120,Parque Santa Helena,"Parque Santa Helena, Campos dos Goytacazes - RJ","(-21.7317869, -41.3272689)"
121,Santa Maria de Campos,"Santa Maria de Campos, Campos dos Goytacazes - RJ","(-21.2672418, -41.4490709)"
122,Parque Santa Rosa,"Parque Santa Rosa, Campos dos Goytacazes - RJ","(-21.7266046, -41.2998911)"
123,Parque Santo Amaro,"Parque Santo Amaro, Campos dos Goytacazes - RJ","(-21.7638038, -41.3393716)"
124,Parque Santo Antonio,"Parque Santo Antonio, Campos dos Goytacazes - RJ","(-21.742082, -41.3268346)"
125,Santo Eduardo,"Santo Eduardo, Campos dos Goytacazes - RJ","(-21.220248, -41.46220580000001)"
126,Parque Santos Dumont,"Parque Santos Dumont, Campos dos Goytacazes - RJ","(-21.6869265, -41.3147291)"
127,Parque Sao Benedito,"Parque Sao Benedito, Campos dos Goytacazes - RJ","(-21.7880684, -41.3252834)"
128,Parque São Caetano,"Parque São Caetano, Campos dos Goytacazes - RJ","(-21.7580002, -41.3428678)"
129,Parque São Clemente,"Parque São Clemente, Campos dos Goytacazes - RJ","(-21.7435397, -41.3466999)"
130,São Diogo - Vila Nova de Campos,"São Diogo - Vila Nova de Campos, Campos dos Goytacazes - RJ","(-21.5422741, -41.2925961)"
131,Parque Sao Domingos,"Parque Sao Domingos, Campos dos Goytacazes - RJ","(-21.7268664, -41.3053224)"
132,Parque Sao Jose,"Parque Sao Jose, Campos dos Goytacazes - RJ","(-21.7259022, -41.3330687)"
133,Parque São Lino,"Parque São Lino, Campos dos Goytacazes - RJ","(-21.7817688, -41.3301855)"
134,São Martinho Santo Amaro de Campos,"São Martinho Santo Amaro de Campos, Campos dos Goytacazes - RJ","(-22.0103593, -41.210161)"
135,Parque Sao Mateus,"Parque Sao Mateus, Campos dos Goytacazes - RJ","(-21.7163376, -41.314237)"
136,Parque São Salvador,"Parque São Salvador, Campos dos Goytacazes - RJ","(-21.7468081, -41.3479533)"
137,São Sebastião De Campos,"São Sebastião De Campos, Campos dos Goytacazes - RJ","(-21.8551344, -41.2114491)"
138,Parque Sao Silvestre,"Parque Sao Silvestre, Campos dos Goytacazes - RJ","(-21.7124775, -41.3037914)"
139,Pecuária,"Pecuária, Campos dos Goytacazes - RJ","(-21.7614561, -41.3167841)"
140,Saturnino Braga,"Saturnino Braga, Campos dos Goytacazes - RJ","(-21.8882808, -41.1980852)"
141,Sumaré ,"Sumaré , Campos dos Goytacazes - RJ","(-21.7417201, -41.3352972)"
142,Parque Tamandaré,"Parque Tamandaré, Campos dos Goytacazes - RJ","(-21.7560324, -41.3380643)"
143,Tapera,"Tapera, Campos dos Goytacazes - RJ","(-21.788252, -41.3936825)"
144,Parque Tarcisio Miranda,"Parque Tarcisio Miranda, Campos dos Goytacazes - RJ","(-21.7816047, -41.3044567)"
145,Terra Prometida,"Terra Prometida, Campos dos Goytacazes - RJ","(-21.7139788, -41.2798345)"
146,Tocaia,"Tocaia, Campos dos Goytacazes - RJ","(-21.8304287, -41.29277769999999)"
147,Tocos,"Tocos, Campos dos Goytacazes - RJ","(-21.9007729, -41.2831951)"
148,Travessão,"Travessão, Campos dos Goytacazes - RJ","(-21.6070678, -41.3126835)"
149,Três venda,"Três venda, Campos dos Goytacazes - RJ","(-21.6168862, -41.4149356)"
150,Parque Tropical,"Parque Tropical, Campos dos Goytacazes - RJ","(-21.8147625, -41.3003049)"
151,Parque Turf Club,"Parque Turf Club, Campos dos Goytacazes - RJ","(-21.7691851, -41.3094894)"
152,Ururai,"Ururai, Campos dos Goytacazes - RJ","(-21.8117267, -41.3924302)"
153,Usina São João,"Usina São João, Campos dos Goytacazes - RJ","(-21.7541718, -41.2836185)"
154,Parque Varanda do Visc.,"Parque Varanda do Visc., Campos dos Goytacazes - RJ","(-21.8057227, -41.2998133)"
155,Venda Nova,"Venda Nova, Campos dos Goytacazes - RJ","(-21.7806964, -41.1893024)"
156,Parque Vera Cruz,"Parque Vera Cruz, Campos dos Goytacazes - RJ","(-21.7360076, -41.32915)"
157,Parque Vicente Goncalves Dias,"Parque Vicente Goncalves Dias, Campos dos Goytacazes - RJ","(-21.7494167, -41.3172373)"
158,Vila MANHÃES,"Vila MANHÃES, Campos dos Goytacazes - RJ","(-21.7915221, -41.2745829)"
159,Vila Nova de Campos,"Vila Nova de Campos, Campos dos Goytacazes - RJ","(-21.4446679, -41.4058915)"
160,Pracinha I da Vila Romana,"Pracinha I da Vila Romana, Campos dos Goytacazes - RJ","(-21.8373031, -41.2568248)"
161,Parque Visc. de Ururai,"Parque Visc. de Ururai, Campos dos Goytacazes - RJ","(-21.7208807, -41.3291496)"
162,Parque Vista Alegre,"Parque Vista Alegre, Campos dos Goytacazes - RJ","(-21.7755557, -41.3009324)"
163,Vivendas Do Coqueiro,"Vivendas Do Coqueiro, Campos dos Goytacazes - RJ","(-21.7920989, -41.2954365)"
164,Parque Calabouço,"Parque Calabouço, Campos dos Goytacazes - RJ","(-21.7372533, -41.3172373)"
